@relation sonar

@attribute a01 numeric
@attribute a02 numeric
@attribute a03 numeric
@attribute a04 numeric
@attribute a05 numeric
@attribute a06 numeric
@attribute a07 numeric
@attribute a08 numeric
@attribute a09 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric

@data
0.003900,0.006300,0.015200,0.033600,0.031000,0.028400,0.039600,0.027200,0.032300,0.045200,0.049200,0.099600,0.142400,0.119400,0.062800,0.090700,0.117700,0.142900,0.122300,0.110400,0.184700,0.371500,0.438200,0.570700,0.665400,0.747600,0.765400,0.855500,0.972000,0.922100,0.750200,0.720900,0.775700,0.605500,0.502100,0.449900,0.394700,0.428100,0.442700,0.374900,0.197200,0.051100,0.079300,0.126900,0.153300,0.069000,0.040200,0.053400,0.022800,0.007300,0.006200,0.006200,0.012000,0.005200,0.005600,0.009300,0.004200,0.000300,0.005300,0.003600,1.000000
0.012300,0.030900,0.016900,0.031300,0.035800,0.010200,0.018200,0.057900,0.112200,0.083500,0.054800,0.084700,0.202600,0.255700,0.187000,0.203200,0.146300,0.284900,0.582400,0.772800,0.785200,0.851500,0.531200,0.365300,0.597300,0.827500,1.000000,0.867300,0.630100,0.459100,0.394000,0.257600,0.281700,0.264100,0.275700,0.269800,0.399400,0.457600,0.394000,0.252200,0.178200,0.135400,0.051600,0.033700,0.089400,0.086100,0.087200,0.044500,0.013400,0.021700,0.018800,0.013300,0.026500,0.022400,0.007400,0.011800,0.002600,0.009200,0.000900,0.004400,1.000000
0.007900,0.008600,0.005500,0.025000,0.034400,0.054600,0.052800,0.095800,0.100900,0.124000,0.109700,0.121500,0.187400,0.338300,0.322700,0.272300,0.394300,0.643200,0.727100,0.867300,0.967400,0.984700,0.948000,0.803600,0.683300,0.513600,0.309000,0.083200,0.401900,0.234400,0.190500,0.123500,0.171700,0.235100,0.248900,0.364900,0.338200,0.158900,0.098900,0.108900,0.104300,0.083900,0.139100,0.081900,0.067800,0.066300,0.120200,0.069200,0.015200,0.026600,0.017400,0.017600,0.012700,0.008800,0.009800,0.001900,0.005900,0.005800,0.005900,0.003200,1.000000
0.009000,0.006200,0.025300,0.048900,0.119700,0.158900,0.139200,0.098700,0.095500,0.189500,0.189600,0.254700,0.407300,0.298800,0.290100,0.532600,0.402200,0.157100,0.302400,0.390700,0.354200,0.443800,0.641400,0.460100,0.600900,0.869000,0.834500,0.766900,0.508100,0.462000,0.538000,0.537500,0.384400,0.360100,0.740200,0.776100,0.385800,0.066700,0.368400,0.611400,0.351000,0.231200,0.219500,0.305100,0.193700,0.157000,0.047900,0.053800,0.014600,0.006800,0.018700,0.005900,0.009500,0.019400,0.008000,0.015200,0.015800,0.005300,0.018900,0.010200,1.000000
0.012400,0.043300,0.060400,0.044900,0.059700,0.035500,0.053100,0.034300,0.105200,0.212000,0.164000,0.190100,0.302600,0.201900,0.059200,0.239000,0.365700,0.380900,0.592900,0.629900,0.580100,0.457400,0.444900,0.369100,0.644600,0.894000,0.897800,0.498000,0.333300,0.235000,0.155300,0.366600,0.434000,0.308200,0.302400,0.410900,0.550100,0.412900,0.549900,0.501800,0.313200,0.280200,0.235100,0.229800,0.115500,0.072400,0.062100,0.031800,0.045000,0.016700,0.007800,0.008300,0.005700,0.017400,0.018800,0.005400,0.011400,0.019600,0.014700,0.006200,1.000000
0.029800,0.061500,0.065000,0.092100,0.161500,0.229400,0.217600,0.203300,0.145900,0.085200,0.247600,0.364500,0.277700,0.282600,0.323700,0.433500,0.563800,0.455500,0.434800,0.643300,0.393200,0.198900,0.354000,0.916500,0.937100,0.462000,0.277100,0.661300,0.802800,0.420000,0.519200,0.696200,0.579200,0.888900,0.786300,0.713300,0.761500,0.440100,0.300900,0.316300,0.280900,0.289800,0.052600,0.186700,0.155300,0.163300,0.125200,0.074800,0.045200,0.006400,0.015400,0.003100,0.015300,0.007100,0.021200,0.007600,0.015200,0.004900,0.020000,0.007300,1.000000
0.035200,0.011600,0.019100,0.046900,0.073700,0.118500,0.168300,0.154100,0.146600,0.291200,0.232800,0.223700,0.247000,0.156000,0.349100,0.330800,0.229900,0.220300,0.249300,0.412800,0.315800,0.619100,0.585400,0.339500,0.256100,0.559900,0.814500,0.694100,0.698500,0.866000,0.593000,0.366400,0.675000,0.869700,0.783700,0.755200,0.578900,0.471300,0.125200,0.608700,0.732200,0.597700,0.343100,0.180300,0.237800,0.342400,0.230300,0.068900,0.021600,0.046900,0.042600,0.034600,0.015800,0.015400,0.010900,0.004800,0.009500,0.001500,0.007300,0.006700,1.000000
0.019200,0.060700,0.037800,0.077400,0.138800,0.080900,0.056800,0.021900,0.103700,0.118600,0.123700,0.160100,0.352000,0.447900,0.376900,0.576100,0.642600,0.679000,0.715700,0.546600,0.539900,0.636200,0.784900,0.775600,0.578000,0.486200,0.418100,0.245700,0.071600,0.061300,0.181600,0.449300,0.597600,0.378500,0.249500,0.577100,0.885200,0.840900,0.357000,0.313300,0.609600,0.637800,0.270900,0.141900,0.126000,0.128800,0.079000,0.082900,0.052000,0.021600,0.036000,0.033100,0.013100,0.012000,0.010800,0.002400,0.004500,0.003700,0.011200,0.007500,1.000000
0.027000,0.009200,0.014500,0.027800,0.041200,0.075700,0.102600,0.113800,0.079400,0.152000,0.167500,0.137000,0.136100,0.134500,0.214400,0.535400,0.683000,0.560000,0.309300,0.322600,0.443000,0.557300,0.578200,0.617300,0.813200,0.981900,0.982300,0.916600,0.742300,0.773600,0.847300,0.735200,0.667100,0.608300,0.623900,0.597200,0.571500,0.524200,0.292400,0.153600,0.200300,0.203100,0.220700,0.177800,0.135300,0.137300,0.074900,0.047200,0.032500,0.017900,0.004500,0.008400,0.001000,0.001800,0.006800,0.003900,0.012000,0.013200,0.007000,0.008800,1.000000
0.012600,0.014900,0.064100,0.173200,0.256500,0.255900,0.294700,0.411000,0.498300,0.592000,0.583200,0.541900,0.547200,0.531400,0.498100,0.698500,0.829200,0.783900,0.821500,0.936300,1.000000,0.922400,0.783900,0.547000,0.456200,0.592200,0.544800,0.397100,0.088200,0.238500,0.200500,0.058700,0.254400,0.200900,0.032900,0.154700,0.121200,0.244600,0.317100,0.319500,0.305100,0.083600,0.126600,0.138100,0.113600,0.051600,0.007300,0.027800,0.037200,0.012100,0.015300,0.009200,0.003500,0.009800,0.012100,0.000600,0.018100,0.009400,0.011600,0.006300,1.000000
0.047300,0.050900,0.081900,0.125200,0.178300,0.307000,0.300800,0.236200,0.383000,0.375900,0.302100,0.290900,0.230100,0.141100,0.158200,0.243000,0.447400,0.596400,0.674400,0.796900,0.831900,0.781300,0.862600,0.736900,0.412200,0.259600,0.339200,0.378800,0.448800,0.628100,0.744900,0.732800,0.770400,0.787000,0.604800,0.586000,0.638500,0.727900,0.628600,0.531600,0.406900,0.179100,0.162500,0.252700,0.190300,0.164300,0.060400,0.020900,0.043600,0.017500,0.010700,0.019300,0.011800,0.006400,0.004200,0.005400,0.004900,0.008200,0.002800,0.002700,1.000000
0.066400,0.057500,0.084200,0.037200,0.045800,0.077100,0.077100,0.113000,0.235300,0.183800,0.286900,0.412900,0.364700,0.198400,0.284000,0.403900,0.583700,0.679200,0.608600,0.485800,0.324600,0.201300,0.208200,0.168600,0.248400,0.273600,0.298400,0.465500,0.699000,0.747400,0.795600,0.798100,0.671500,0.694200,0.744000,0.816900,0.891200,1.000000,0.875300,0.706100,0.680300,0.589800,0.461800,0.363900,0.149200,0.121600,0.130600,0.119800,0.057800,0.023500,0.013500,0.014100,0.019000,0.004300,0.003600,0.002600,0.002400,0.016200,0.010900,0.007900,1.000000
0.009900,0.048400,0.029900,0.029700,0.065200,0.107700,0.236300,0.238500,0.007500,0.188200,0.145600,0.189200,0.317600,0.134000,0.216900,0.245800,0.258900,0.278600,0.229800,0.065600,0.144100,0.117900,0.166800,0.178300,0.247600,0.257000,0.103600,0.535600,0.712400,0.629100,0.475600,0.601500,0.720800,0.623400,0.572500,0.752300,0.871200,0.925200,0.970900,0.929700,0.899500,0.791100,0.560000,0.283800,0.440700,0.550700,0.433100,0.290500,0.198100,0.077900,0.039600,0.017300,0.014900,0.011500,0.020200,0.013900,0.002900,0.016000,0.010600,0.013400,1.000000
0.011500,0.015000,0.013600,0.007600,0.021100,0.105800,0.102300,0.044000,0.093100,0.073400,0.074000,0.062200,0.105500,0.118300,0.172100,0.258400,0.323200,0.381700,0.424300,0.421700,0.444900,0.407500,0.330600,0.401200,0.446600,0.521800,0.755200,0.950300,1.000000,0.908400,0.828300,0.757100,0.726200,0.615200,0.568000,0.575700,0.532400,0.367200,0.166900,0.086600,0.064600,0.189100,0.268300,0.288700,0.234100,0.166800,0.101500,0.119500,0.070400,0.016700,0.010700,0.009100,0.001600,0.008400,0.006400,0.002600,0.002900,0.003700,0.007000,0.004100,1.000000
0.029300,0.064400,0.039000,0.017300,0.047600,0.081600,0.099300,0.031500,0.073600,0.086000,0.041400,0.047200,0.083500,0.093800,0.146600,0.080900,0.117900,0.217900,0.332600,0.325800,0.211100,0.230200,0.336100,0.425900,0.460900,0.260600,0.087400,0.286200,0.560600,0.834400,0.809600,0.725000,0.804800,0.943500,1.000000,0.896000,0.551600,0.303700,0.233800,0.238200,0.331800,0.382100,0.157500,0.222800,0.158200,0.143300,0.163400,0.113300,0.056700,0.013300,0.017000,0.003500,0.005200,0.008300,0.007800,0.007500,0.010500,0.016000,0.009500,0.001100,1.000000
0.020100,0.002600,0.013800,0.006200,0.013300,0.015100,0.054100,0.021000,0.050500,0.109700,0.084100,0.094200,0.120400,0.042000,0.003100,0.016200,0.062400,0.212700,0.343600,0.381300,0.382500,0.476400,0.631300,0.752300,0.867500,0.878800,0.790100,0.835700,0.963100,0.961900,0.923600,0.890300,0.970800,0.964700,0.789200,0.530700,0.271800,0.195300,0.137400,0.310500,0.379000,0.410500,0.335500,0.299800,0.274800,0.202400,0.104300,0.045300,0.033700,0.012200,0.007200,0.010800,0.007000,0.006300,0.003000,0.001100,0.000700,0.002400,0.005700,0.004400,1.000000
0.015100,0.032000,0.059900,0.105000,0.116300,0.173400,0.167900,0.111900,0.088900,0.120500,0.084700,0.151800,0.230500,0.279300,0.340400,0.452700,0.695000,0.880700,0.915400,0.754200,0.673600,0.714600,0.833500,0.770100,0.699300,0.654300,0.504000,0.492600,0.499200,0.416100,0.163100,0.040400,0.063700,0.296200,0.360900,0.186600,0.047600,0.149700,0.240500,0.198000,0.317500,0.237900,0.171600,0.155900,0.155600,0.042200,0.049300,0.047600,0.021900,0.005900,0.008600,0.006100,0.001500,0.008400,0.012800,0.005400,0.001100,0.001900,0.002300,0.006200,1.000000
0.017700,0.030000,0.028800,0.039400,0.063000,0.052600,0.068800,0.063300,0.062400,0.061300,0.168000,0.347600,0.456100,0.518800,0.630800,0.720100,0.515300,0.381800,0.264400,0.334500,0.486500,0.662800,0.738900,0.921300,1.000000,0.775000,0.559300,0.617200,0.863500,0.659200,0.477000,0.498300,0.333000,0.307600,0.287600,0.222600,0.079400,0.060300,0.104900,0.060600,0.153000,0.098300,0.164300,0.190100,0.110700,0.191700,0.146700,0.039200,0.035600,0.027000,0.016800,0.010200,0.012200,0.004400,0.007500,0.012400,0.009900,0.005700,0.003200,0.001900,1.000000
0.010000,0.027500,0.019000,0.037100,0.041600,0.020100,0.031400,0.065100,0.189600,0.266800,0.337600,0.328200,0.243200,0.126800,0.127800,0.444100,0.679500,0.705100,0.796600,0.940100,0.985700,0.819300,0.578900,0.639400,0.704300,0.687500,0.408100,0.181100,0.206400,0.391700,0.379100,0.204200,0.222700,0.334100,0.398400,0.507700,0.553400,0.335200,0.272300,0.227800,0.204400,0.198600,0.083500,0.090800,0.138000,0.194800,0.121100,0.084300,0.058900,0.024700,0.011800,0.008800,0.010400,0.003600,0.008800,0.004700,0.011700,0.002000,0.009100,0.005800,1.000000
0.018900,0.030800,0.019700,0.062200,0.008000,0.078900,0.144000,0.145100,0.178900,0.252200,0.260700,0.371000,0.390600,0.267200,0.271600,0.418300,0.698800,0.573300,0.222600,0.263100,0.747300,0.726300,0.339300,0.282400,0.605300,0.589700,0.496700,0.861600,0.833900,0.408400,0.226800,0.174500,0.050700,0.158800,0.304000,0.136900,0.160500,0.206100,0.073400,0.020200,0.163800,0.158300,0.183000,0.188600,0.100800,0.066300,0.018300,0.040400,0.010800,0.014300,0.009100,0.003800,0.009600,0.014200,0.019000,0.014000,0.009900,0.009200,0.005200,0.007500,1.000000
0.024000,0.021800,0.032400,0.056900,0.033000,0.051300,0.089700,0.071300,0.056900,0.038900,0.193400,0.243400,0.290600,0.260600,0.381100,0.499700,0.301500,0.365500,0.679100,0.730700,0.505300,0.444100,0.698700,0.813300,0.778100,0.894300,0.892900,0.891300,0.861000,0.806300,0.554000,0.244600,0.345900,0.161500,0.246700,0.556400,0.468100,0.097900,0.158200,0.075100,0.332100,0.374500,0.266600,0.107800,0.141800,0.168700,0.073800,0.063400,0.014400,0.022600,0.006100,0.016200,0.014600,0.009300,0.011200,0.009400,0.005400,0.001900,0.006600,0.002300,1.000000
0.008400,0.015300,0.029100,0.043200,0.095100,0.075200,0.041400,0.025900,0.069200,0.175300,0.197000,0.116700,0.168300,0.081400,0.217900,0.512100,0.723100,0.777600,0.622200,0.350100,0.373300,0.262200,0.377600,0.736100,0.867300,0.822300,0.777200,0.786200,0.565200,0.363500,0.353400,0.386500,0.337000,0.169300,0.262700,0.319500,0.138800,0.104800,0.168100,0.191000,0.117400,0.093300,0.085600,0.095100,0.098600,0.095600,0.042600,0.040700,0.010600,0.017900,0.005600,0.023600,0.011400,0.013600,0.011700,0.006000,0.005800,0.003100,0.007200,0.004500,1.000000
0.019500,0.021300,0.005800,0.019000,0.031900,0.057100,0.100400,0.066800,0.069100,0.024200,0.072800,0.063900,0.300200,0.385400,0.476700,0.460200,0.317500,0.416000,0.642800,1.000000,0.863100,0.521200,0.315600,0.595200,0.773200,0.604200,0.437500,0.548700,0.472000,0.623500,0.385100,0.159000,0.389100,0.529400,0.350400,0.448000,0.404100,0.503100,0.647500,0.549300,0.354800,0.202800,0.188200,0.084500,0.131500,0.159000,0.056200,0.061700,0.034300,0.037000,0.026100,0.015700,0.007400,0.027100,0.020300,0.008900,0.009500,0.009500,0.002100,0.005300,1.000000
0.044200,0.047700,0.004900,0.058100,0.027800,0.067800,0.166400,0.149000,0.097400,0.126800,0.110900,0.237500,0.200700,0.214000,0.110900,0.203600,0.246800,0.668200,0.834500,0.825200,0.801700,0.898200,0.966400,0.851500,0.662600,0.324100,0.205400,0.566900,0.572600,0.487700,0.753200,0.760000,0.518500,0.412000,0.556000,0.556900,0.133600,0.383100,0.461100,0.433000,0.255600,0.146600,0.348900,0.265900,0.094400,0.137000,0.134400,0.041600,0.071900,0.063700,0.021000,0.020400,0.021600,0.013500,0.005500,0.007300,0.008000,0.010500,0.005900,0.010500,1.000000
0.031100,0.049100,0.069200,0.083100,0.007900,0.020000,0.098100,0.101600,0.202500,0.076700,0.176700,0.255500,0.281200,0.272200,0.322700,0.346300,0.539500,0.791100,0.906400,0.870100,0.767200,0.295700,0.414800,0.604300,0.317800,0.348200,0.615800,0.804900,0.628900,0.499900,0.583000,0.666000,0.412400,0.126000,0.248700,0.467600,0.538200,0.315000,0.213900,0.184800,0.167900,0.232800,0.101500,0.071300,0.061500,0.077900,0.076100,0.084500,0.059200,0.006800,0.008900,0.008700,0.003200,0.013000,0.018800,0.010100,0.022900,0.018200,0.004600,0.003800,1.000000
0.020600,0.013200,0.053300,0.056900,0.064700,0.143200,0.134400,0.204100,0.157100,0.157300,0.232700,0.178500,0.150700,0.191600,0.206100,0.230700,0.236000,0.129900,0.381200,0.585800,0.449700,0.487600,1.000000,0.867500,0.471800,0.534100,0.619700,0.714300,0.560500,0.372800,0.248100,0.192100,0.138600,0.332500,0.288300,0.322800,0.260700,0.204000,0.239600,0.131900,0.068300,0.033400,0.071600,0.097600,0.078700,0.052200,0.050000,0.023100,0.022100,0.014400,0.030700,0.038600,0.014700,0.001800,0.010000,0.009600,0.007700,0.018000,0.010900,0.007000,1.000000
0.009400,0.016600,0.039800,0.035900,0.068100,0.070600,0.102000,0.089300,0.038100,0.132800,0.130300,0.027300,0.064400,0.071200,0.120400,0.071700,0.122400,0.234900,0.368400,0.391800,0.492500,0.879300,0.960600,0.878600,0.690500,0.693700,0.567400,0.654000,0.780200,0.757500,0.583600,0.631600,0.810800,0.903900,0.864700,0.669500,0.402700,0.237000,0.268500,0.366200,0.326700,0.220000,0.299600,0.220500,0.116300,0.063500,0.046500,0.042200,0.017400,0.017200,0.013400,0.014100,0.019100,0.014500,0.006500,0.012900,0.021700,0.008700,0.007700,0.012200,1.000000
0.033300,0.022100,0.027000,0.048100,0.067900,0.098100,0.084300,0.117200,0.075900,0.092000,0.147500,0.052200,0.111900,0.097000,0.117400,0.167800,0.164200,0.120500,0.049400,0.154400,0.348500,0.614600,0.914600,0.936400,0.867700,0.877200,0.855300,0.883300,1.000000,0.829600,0.660100,0.549900,0.571600,0.685900,0.682500,0.514200,0.275000,0.135800,0.155100,0.264600,0.199400,0.188300,0.274600,0.165100,0.057500,0.069500,0.059800,0.045600,0.002100,0.006800,0.003600,0.002200,0.003200,0.006000,0.005400,0.006300,0.014300,0.013200,0.005100,0.004100,1.000000
0.012300,0.002200,0.019600,0.020600,0.018000,0.049200,0.003300,0.039800,0.079100,0.047500,0.115200,0.052000,0.119200,0.194300,0.184000,0.207700,0.195600,0.163000,0.121800,0.101700,0.135400,0.315700,0.464500,0.590600,0.677600,0.811900,0.859400,0.922800,0.838700,0.723800,0.629200,0.518100,0.462900,0.525500,0.514700,0.392900,0.127900,0.041100,0.085900,0.113100,0.130600,0.175700,0.264800,0.195500,0.065600,0.058000,0.031900,0.030100,0.027200,0.007400,0.014900,0.012500,0.013400,0.002600,0.003800,0.001800,0.011300,0.005800,0.004700,0.007100,1.000000
0.009100,0.021300,0.020600,0.050500,0.065700,0.079500,0.097000,0.087200,0.074300,0.083700,0.157900,0.089800,0.030900,0.185600,0.296900,0.203200,0.126400,0.165500,0.166100,0.209100,0.231000,0.446000,0.663400,0.693300,0.766300,0.820600,0.704900,0.756000,0.746600,0.638700,0.484600,0.332800,0.535600,0.874100,0.857300,0.671800,0.344600,0.315000,0.270200,0.259800,0.274200,0.359400,0.438200,0.246000,0.075800,0.018700,0.079700,0.074800,0.036700,0.015500,0.030000,0.011200,0.011200,0.010200,0.002600,0.009700,0.009800,0.004300,0.007100,0.010800,1.000000
0.006800,0.023200,0.051300,0.044400,0.024900,0.063700,0.042200,0.113000,0.191100,0.247500,0.160600,0.092200,0.239800,0.322000,0.429500,0.265200,0.066600,0.144200,0.237300,0.259500,0.249300,0.390300,0.638400,0.803700,0.702600,0.687400,0.699700,0.855800,1.000000,0.962100,0.899600,0.757500,0.690200,0.568600,0.439600,0.454600,0.295900,0.158700,0.168100,0.084200,0.117300,0.175400,0.272800,0.170500,0.019400,0.021300,0.035400,0.042000,0.009300,0.020400,0.019900,0.017300,0.016300,0.005500,0.004500,0.006800,0.004100,0.005200,0.019400,0.010500,1.000000
